DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
22-04-2021,Chhattisgarh,16750,17739,207,55000
27-04-2021,Goa,2110,748,31,5548
28-04-2021,Sikkim,151,21,1,515
29-04-2021,Madhya Pradesh,12762,13363,95,59449
04-05-2021,Jharkhand,5974,5810,132,36209
07-05-2021,Delhi,19832,19085,341,79593
10-05-2021,Himachal Pradesh,4359,2355,53,11223
03-04-2021,Punjab,2686,2781,49,28700
05-04-2021,Chhattisgarh,7302,1412,44,40053
11-04-2021,Jharkhand,2296,635,21,39331
14-04-2021,Delhi,17282,9952,104,108534
27-04-2021,Karnataka,31830,10793,180,170116
28-04-2021,Telangana,8061,5093,56,82270
29-04-2021,Gujarat,14327,9544,180,169352
01-05-2021,Tamil Nadu,19588,17164,147,151452
04-05-2021,Haryana,15786,11525,153,58408
04-05-2021,Arunachal Pradesh,234,138,\N,3827
10-05-2021,Mizoram,73,165,3,3571
16-05-2021,Lakshadweep,117,146,1,558
19-05-2021,Kerala,32762,48413,112,140545
21-05-2021,Assam,6066,4987,81,103158
23-04-2021,Lakshadweep,134,17,\N,1195
26-04-2021,Kerala,21890,7943,28,96378
27-04-2021,Uttar Pradesh,32921,30398,264,184061
24-05-2021,Tripura,426,474,2,7184
24-05-2021,Andhra Pradesh,12994,18373,96,58835
07-04-2021,Nagaland,11,2,\N,225
09-04-2021,Kerala,5063,2475,22,63240
11-04-2021,Assam,352,36,1,73329
21-04-2021,Odisha,4851,2009,5,38548
30-04-2021,Punjab,6063,5106,113,57642
07-05-2021,Tripura,315,149,1,5183
07-05-2021,Lakshadweep,101,118,1,1429
09-05-2021,Meghalaya,418,179,18,2325
14-04-2021,Tripura,39,22,\N,2083
16-04-2021,Meghalaya,121,12,1,2447
05-05-2021,Odisha,9889,6176,16,48101
14-05-2021,Punjab,8035,8446,180,71055
16-05-2021,Chhattisgarh,4888,11552,144,52028
22-05-2021,Jharkhand,2037,3929,41,60579
25-05-2021,Delhi,1568,4251,156,73406
02-04-2021,Assam,63,38,\N,12322
12-04-2021,Odisha,1741,538,2,30097
23-04-2021,Chhattisgarh,17397,15254,219,57185
29-04-2021,Sikkim,170,22,3,734
06-05-2021,Rajasthan,17532,16044,161,90099
08-05-2021,Delhi,17364,20160,332,74384
10-05-2021,Andaman and Nicobar Islands,31,37,2,360
04-04-2021,Punjab,3006,2955,51,36771
05-04-2021,Andhra Pradesh,1326,911,5,30678
13-04-2021,Rajasthan,5528,1251,28,59209
15-04-2021,Delhi,16699,13014,112,82569
28-04-2021,Bihar,13374,8818,84,103895
02-05-2021,Tamil Nadu,20768,17576,153,143083
05-05-2021,Haryana,15416,10640,181,51453
05-05-2021,Arunachal Pradesh,220,76,\N,3477
07-05-2021,Chhattisgarh,13628,13624,208,61939
10-05-2021,Maharashtra,37236,61607,549,192330
18-05-2021,Nagaland,365,192,12,1723
20-05-2021,Uttarakhand,3658,8006,159,34844
22-05-2021,Assam,5980,4659,79,107398
12-04-2021,Haryana,3818,2298,14,24988
12-04-2021,Arunachal Pradesh,6,1,\N,315
19-04-2021,Goa,940,428,17,2726
27-04-2021,Kerala,32819,18413,32,141199
01-05-2021,Ladakh,117,166,1,1208
02-05-2021,Himachal Pradesh,2453,1614,44,9684
11-05-2021,Manipur,592,195,20,3442
25-05-2021,Tripura,773,427,5,10267
03-04-2021,Jharkhand,873,161,7,20047
08-04-2021,Nagaland,5,\N,\N,205
19-04-2021,Karnataka,15785,7098,146,123212
01-05-2021,Maharashtra,63282,61326,802,289006
02-05-2021,Mizoram,152,120,1,2113
08-05-2021,Lakshadweep,127,215,\N,1359
11-05-2021,Uttarakhand,7120,4933,118,27928
13-05-2021,Assam,5468,4219,75,59594
23-05-2021,Odisha,12852,11627,28,67156
01-04-2021,Manipur,1,7,\N,942
15-04-2021,Lakshadweep,56,8,\N,524
19-04-2021,Uttar Pradesh,28211,10978,167,200542
