Date,State,Confirmed,Recovered,Deceased,Total Tested
16-04-2021,Uttar Pradesh,27360,6429,103,223429
16-04-2021,Kerala,10031,3792,21,67775
16-04-2021,Nagaland,23,2,1,270
16-04-2021,Meghalaya,121,12,1,2447
16-04-2021,Delhi,19486,12649,141,98957
16-04-2021,Lakshadweep,44,11,0,687
16-04-2021,Chhattisgarh,14912,12240,138,49584
16-04-2021,Rajasthan,7359,2791,31,60898
16-04-2021,Punjab,3891,3129,50,44117
16-04-2021,Jharkhand,3843,1393,56,35265
16-04-2021,Assam,573,113,4,32421
16-04-2021,Himachal Pradesh,842,484,9,6389
16-04-2021,Mizoram,25,5,0,2481
17-04-2021,Maharashtra,67145,56783,419,272035
17-04-2021,Madhya Pradesh,11269,6497,66,52568
17-04-2021,Gujarat,9541,3783,97,173566
17-04-2021,Chandigarh,431,438,2,3016
17-04-2021,Bihar,7870,1804,34,100555
17-04-2021,Andhra Pradesh,7224,2332,15,35907
17-04-2021,Tripura,58,11,0,2141
17-04-2021,Odisha,3144,1303,4,37245
17-04-2021,Arunachal Pradesh,19,6,0,659
17-04-2021,Haryana,7717,2944,32,43987
17-04-2021,Manipur,39,14,0,1157
17-04-2021,Uttarakhand,2835,802,37,52301
17-04-2021,Andaman and Nicobar Islands,42,36,1,2250
17-04-2021,Puducherry,715,198,3,4748
17-04-2021,Tamil Nadu,9344,5263,39,100804
17-04-2021,West Bengal,7713,3426,34,46971
17-04-2021,Jammu and Kashmir,1145,852,3,36531
17-04-2021,Telangana,4446,1414,12,126235
17-04-2021,Goa,762,436,4,3494
17-04-2021,Karnataka,17489,5564,80,143308
17-04-2021,Uttar Pradesh,27334,7831,120,215683
17-04-2021,Kerala,13838,3654,27,81211
17-04-2021,Nagaland,36,0,0,366
17-04-2021,Meghalaya,95,11,0,1882
17-04-2021,Delhi,24375,15414,167,99230
17-04-2021,Lakshadweep,106,5,0,1246
17-04-2021,Chhattisgarh,16083,9828,158,53916
17-04-2021,Rajasthan,9046,2823,37,66561
17-04-2021,Punjab,4431,2615,62,43042
17-04-2021,Jharkhand,3838,1234,30,40990
17-04-2021,Assam,876,149,2,43268
17-04-2021,Himachal Pradesh,1383,656,12,10907
17-04-2021,Mizoram,62,1,0,2070
18-04-2021,Maharashtra,68650,45654,503,273272
18-04-2021,Madhya Pradesh,12248,7495,66,53628
18-04-2021,Gujarat,10340,3981,110,165711
18-04-2021,Chandigarh,625,411,3,3550
18-04-2021,Bihar,8690,3460,27,100604
18-04-2021,Andhra Pradesh,6582,2343,22,35922
18-04-2021,Tripura,69,7,0,2588
18-04-2021,Odisha,3664,1309,2,34450
18-04-2021,Arunachal Pradesh,20,3,0,238
18-04-2021,Haryana,7177,3489,29,43883
18-04-2021,Manipur,72,7,0,1195
18-04-2021,Uttarakhand,2633,708,12,32821
18-04-2021,Andaman and Nicobar Islands,59,54,0,2347
18-04-2021,Puducherry,663,282,3,5070
18-04-2021,Tamil Nadu,10723,5925,42,110130
18-04-2021,West Bengal,8419,4053,28,46074
