Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
611990,18-05-2021,Gautam Buddha Nagar,Uttar Pradesh,UP,5,Deceased
611991,18-05-2021,Gorakhpur,Uttar Pradesh,UP,6,Deceased
611992,18-05-2021,Ghaziabad,Uttar Pradesh,UP,2,Deceased
611993,18-05-2021,Bareilly,Uttar Pradesh,UP,4,Deceased
611994,18-05-2021,Moradabad,Uttar Pradesh,UP,2,Deceased
611995,18-05-2021,Jhansi,Uttar Pradesh,UP,9,Deceased
611996,18-05-2021,Saharanpur,Uttar Pradesh,UP,11,Deceased
611997,18-05-2021,Muzaffarnagar,Uttar Pradesh,UP,4,Deceased
611998,18-05-2021,Agra,Uttar Pradesh,UP,10,Deceased
611999,18-05-2021,Lakhimpur Kheri,Uttar Pradesh,UP,5,Deceased
612000,18-05-2021,Jaunpur,Uttar Pradesh,UP,2,Deceased
612001,18-05-2021,Ghazipur,Uttar Pradesh,UP,6,Deceased
612002,18-05-2021,Aligarh,Uttar Pradesh,UP,1,Deceased
612003,18-05-2021,Mathura,Uttar Pradesh,UP,5,Deceased
612004,18-05-2021,Shahjahanpur,Uttar Pradesh,UP,4,Deceased
612005,18-05-2021,Azamgarh,Uttar Pradesh,UP,9,Deceased
612006,18-05-2021,Rae Bareli,Uttar Pradesh,UP,5,Deceased
612007,18-05-2021,Ayodhya,Uttar Pradesh,UP,3,Deceased
612008,18-05-2021,Sonbhadra,Uttar Pradesh,UP,1,Deceased
612009,18-05-2021,Chandauli,Uttar Pradesh,UP,8,Deceased
612010,18-05-2021,Amroha,Uttar Pradesh,UP,7,Deceased
612011,18-05-2021,Pratapgarh,Uttar Pradesh,UP,3,Deceased
612012,18-05-2021,Etawah,Uttar Pradesh,UP,3,Deceased
612013,18-05-2021,Hardoi,Uttar Pradesh,UP,5,Deceased
612014,18-05-2021,Lalitpur,Uttar Pradesh,UP,3,Deceased
612015,18-05-2021,Maharajganj,Uttar Pradesh,UP,2,Deceased
612016,18-05-2021,Gonda,Uttar Pradesh,UP,3,Deceased
612017,18-05-2021,Hapur,Uttar Pradesh,UP,162,Hospitalized
612018,18-05-2021,Jalaun,Uttar Pradesh,UP,71,Hospitalized
612019,18-05-2021,Rampur,Uttar Pradesh,UP,28,Hospitalized
612020,18-05-2021,Basti,Uttar Pradesh,UP,78,Hospitalized
612021,18-05-2021,Bahraich,Uttar Pradesh,UP,135,Hospitalized
612022,18-05-2021,Banda,Uttar Pradesh,UP,34,Hospitalized
612023,18-05-2021,Mirzapur,Uttar Pradesh,UP,44,Hospitalized
612024,18-05-2021,Pilibhit,Uttar Pradesh,UP,26,Hospitalized
612025,18-05-2021,Auraiya,Uttar Pradesh,UP,27,Hospitalized
612026,18-05-2021,Etah,Uttar Pradesh,UP,45,Hospitalized
612027,18-05-2021,Mainpuri,Uttar Pradesh,UP,32,Hospitalized
612028,18-05-2021,Amethi,Uttar Pradesh,UP,71,Hospitalized
612029,18-05-2021,Sambhal,Uttar Pradesh,UP,58,Hospitalized
612030,18-05-2021,Kannauj,Uttar Pradesh,UP,24,Hospitalized
612031,18-05-2021,Siddharthnagar,Uttar Pradesh,UP,62,Hospitalized
612032,18-05-2021,Firozabad,Uttar Pradesh,UP,48,Hospitalized
612033,18-05-2021,Baghpat,Uttar Pradesh,UP,238,Hospitalized
612034,18-05-2021,Mau,Uttar Pradesh,UP,34,Hospitalized
612035,18-05-2021,Sant Kabir Nagar,Uttar Pradesh,UP,93,Hospitalized
612036,18-05-2021,Bhadohi,Uttar Pradesh,UP,26,Hospitalized
612037,18-05-2021,Balrampur,Uttar Pradesh,UP,106,Hospitalized
612038,18-05-2021,Chitrakoot,Uttar Pradesh,UP,18,Hospitalized
612039,18-05-2021,Fatehpur,Uttar Pradesh,UP,22,Hospitalized
612040,18-05-2021,Kanpur Dehat,Uttar Pradesh,UP,14,Hospitalized
612041,18-05-2021,Hamirpur,Uttar Pradesh,UP,6,Hospitalized
612042,18-05-2021,Ambedkar Nagar,Uttar Pradesh,UP,54,Hospitalized
612043,18-05-2021,Kaushambi,Uttar Pradesh,UP,16,Hospitalized
612044,18-05-2021,Shrawasti,Uttar Pradesh,UP,41,Hospitalized
612045,18-05-2021,Mahoba,Uttar Pradesh,UP,3,Hospitalized
612046,18-05-2021,Kasganj,Uttar Pradesh,UP,27,Hospitalized
612047,18-05-2021,Hathras,Uttar Pradesh,UP,29,Hospitalized
612048,18-05-2021,Hapur,Uttar Pradesh,UP,173,Recovered
612049,18-05-2021,Jalaun,Uttar Pradesh,UP,75,Recovered
612050,18-05-2021,Rampur,Uttar Pradesh,UP,122,Recovered
612051,18-05-2021,Basti,Uttar Pradesh,UP,126,Recovered
612052,18-05-2021,Bahraich,Uttar Pradesh,UP,158,Recovered
612053,18-05-2021,Banda,Uttar Pradesh,UP,53,Recovered
612054,18-05-2021,Mirzapur,Uttar Pradesh,UP,109,Recovered
612055,18-05-2021,Pilibhit,Uttar Pradesh,UP,206,Recovered
612056,18-05-2021,Auraiya,Uttar Pradesh,UP,173,Recovered
612057,18-05-2021,Etah,Uttar Pradesh,UP,110,Recovered
612058,18-05-2021,Mainpuri,Uttar Pradesh,UP,91,Recovered
612059,18-05-2021,Amethi,Uttar Pradesh,UP,87,Recovered
612060,18-05-2021,Sambhal,Uttar Pradesh,UP,116,Recovered
612061,18-05-2021,Kannauj,Uttar Pradesh,UP,67,Recovered
612062,18-05-2021,Siddharthnagar,Uttar Pradesh,UP,142,Recovered
612063,18-05-2021,Firozabad,Uttar Pradesh,UP,135,Recovered
612064,18-05-2021,Baghpat,Uttar Pradesh,UP,152,Recovered
612065,18-05-2021,Mau,Uttar Pradesh,UP,85,Recovered
612066,18-05-2021,Sant Kabir Nagar,Uttar Pradesh,UP,114,Recovered
612067,18-05-2021,Bhadohi,Uttar Pradesh,UP,91,Recovered
612068,18-05-2021,Balrampur,Uttar Pradesh,UP,69,Recovered
612069,18-05-2021,Chitrakoot,Uttar Pradesh,UP,100,Recovered
612070,18-05-2021,Fatehpur,Uttar Pradesh,UP,33,Recovered
612071,18-05-2021,Kanpur Dehat,Uttar Pradesh,UP,77,Recovered
612072,18-05-2021,Hamirpur,Uttar Pradesh,UP,43,Recovered
612073,18-05-2021,Ambedkar Nagar,Uttar Pradesh,UP,25,Recovered
612074,18-05-2021,Kaushambi,Uttar Pradesh,UP,7,Recovered
612075,18-05-2021,Shrawasti,Uttar Pradesh,UP,41,Recovered
612076,18-05-2021,Mahoba,Uttar Pradesh,UP,48,Recovered
612077,18-05-2021,Kasganj,Uttar Pradesh,UP,67,Recovered
612078,18-05-2021,Hathras,Uttar Pradesh,UP,79,Recovered
612079,18-05-2021,Hapur,Uttar Pradesh,UP,2,Deceased
612080,18-05-2021,Jalaun,Uttar Pradesh,UP,1,Deceased
612081,18-05-2021,Rampur,Uttar Pradesh,UP,3,Deceased
612082,18-05-2021,Basti,Uttar Pradesh,UP,6,Deceased
612083,18-05-2021,Bahraich,Uttar Pradesh,UP,5,Deceased
612084,18-05-2021,Pilibhit,Uttar Pradesh,UP,1,Deceased
612085,18-05-2021,Auraiya,Uttar Pradesh,UP,5,Deceased
612086,18-05-2021,Etah,Uttar Pradesh,UP,1,Deceased
612087,18-05-2021,Mainpuri,Uttar Pradesh,UP,2,Deceased
612088,18-05-2021,Amethi,Uttar Pradesh,UP,3,Deceased
612089,18-05-2021,Sambhal,Uttar Pradesh,UP,1,Deceased
612090,18-05-2021,Siddharthnagar,Uttar Pradesh,UP,2,Deceased
612091,18-05-2021,Firozabad,Uttar Pradesh,UP,2,Deceased
612092,18-05-2021,Baghpat,Uttar Pradesh,UP,5,Deceased
